type_operasi,daerah_operasi,area_operasi,b1,p1,b2,p2,b3,p3,b4,p4,b5,p5,b6,p6,b7,p7,b8,p8,b9,p9,b10,p10,b11,p11,b12,p12
ZONASI,ZONA 1,ZONASI PONDOK GEDE - HALIM- CONDET - RANCHO,100,20358,109,20696,127,232,99,11367,122,12601,51,327,58,11892,94,14823,105,1767,88,14626,126,22839,77,9612
ZONASI,ZONA 2,ZONASI KP.MELAYU - RAWAMANGUN,84,16302,93,16478,107,16294,80,10494,89,9496,45,2368,50,8654,75,10608,87,13361,73,10897,98,16596,63,7512
ZONASI,ZONA 3,ZONASI TERMINAL KALIDERES - KAMAL,67,11416,74,12427,86,14484,67,8382,55,6264,36,1675,39,7415,62,592,74,6963,59,559,88,8227,50,3737
ZONASI,ZONA 4,ZONASI KALIDERES -SEMANAN-DURIKOSAMBI,102,18655,113,20987,128,23236,99,1337,87,13627,54,227,58,11593,93,11074,107,12334,83,934,123,14482,67,6682
ZONASI,ZONA 5,ZONASI PULO GADUNG-MARDANI-PASEBAN,68,12332,74,12846,87,15159,70,7735,56,5578,36,2091,37,6287,62,6919,73,9328,57,686,82,11056,50,5078
ZONASI,ZONA 6,ZONASI CAWANG - PEJATEN - RAGUNAN,66,6407,75,8008,84,8195,63,5028,41,4028,36,1935,31,3623,63,4656,62,5858,49,4766,73,6784,50,4062
ZONASI,ZONA 7,ZONASI RAWAMANGUN - CIKINI - LP.BANTENG,68,10153,76,12341,86,13124,65,694,47,6762,36,1771,40,4695,63,5744,75,7921,54,584,76,10031,48,4286
ZONASI,ZONA 8,ZONASI LUBANG BUAYA - DUKU.5 - KP.RAMBUTAN - RANCO,67,751,75,8842,83,9237,65,5418,42,5061,36,1609,35,3597,64,5383,72,6735,53,5613,83,8153,52,3281
ZONASI,ZONA 9,ZONASI MARUNDA - ROROTAN,50,11794,56,13731,65,18396,49,10015,41,6387,27,1636,30,7341,47,7144,56,8136,43,5736,57,7945,37,3264
ZONASI,ZONA 10,ZONASI MARUNDA - CILINCING,51,6803,57,7632,65,8611,49,4934,36,4196,27,1606,30,403,48,5296,51,6163,44,5041,65,7516,39,3908
ZONASI,ZONA 11,ZONASI - RUSUN KAPUK - CIDENG,34,4969,37,5058,42,6328,33,3856,21,3564,18,816,20,1747,37,2371,37,4836,31,3508,42,4851,24,2154
REGULER,RUTE 1,LAP.BANTENG - GALUR -P.KEMERDEKAAN,94,25549,114,27714,131,29853,101,19521,131,23105,54,6244,54,13532,95,19988,111,25947,85,20815,129,30935,76,14374
REGULER,RUTE 2,PLUMPANG - SUNTER - KEMAYORAN,80,18334,95,20892,109,22867,84,14125,128,12061,45,3579,45,7967,79,12923,104,17247,89,13558,129,22487,70,964
REGULER,RUTE 3,GANDARIA - H E K - TMII,95,27055,112,31415,128,31074,100,18619,112,15525,54,4932,54,13943,93,1554,109,23129,85,16664,132,27826,76,1054
REGULER,RUTE 4,PERINTIS KEMERDEKAAN - PULO GADUNG- PONDOK KOPI,63,1943,75,19976,88,21822,51,1104,51,12262,29,3631,53,10231,51,12155,146,33612,46,11193,67,18493,39,7549
REGULER,RUTE 4A,PULO GADUNG - PONDOK KOPI,79,2266,94,2584,102,28716,83,17696,68,14259,39,3831,24,4531,77,1539,,,72,16754,102,28736,63,12099
REGULER,RUTE 5,KAMPUNG MELAYU - TMII - CEGER,128,36009,152,38934,175,42338,137,22862,108,19063,72,5701,66,20183,124,21842,152,32759,113,21802,174,382,99,16766
REGULER,RUTE 6,PS.MINGGU - MAMPANG PRAPATAN - KEBAYORAN PTIK,80,18192,91,1982,103,23031,77,13722,60,10226,37,2867,43,9164,83,12965,79,14647,66,11286,102,19511,59,8291
REGULER,RUTE 7,PASAR MINGGU - RANCO - LT.AGUNG - UI,101,32202,113,38741,131,42092,97,29121,80,2316,52,8632,53,13351,89,24274,121,34904,79,23346,119,38215,68,17901
REGULER,RUTE 8,PS. MINGGU - PANCORAN - MANGGARAI,82,17519,83,16238,103,14957,63,5748,69,10279,37,2943,50,9573,74,10264,92,13998,83,12386,119,2126,71,9829
REGULER,RUTE 9,CILINCING - PLUMPANG -P.KEMERDEKAAN,49,8607,57,10571,66,1204,51,7459,50,4525,28,1734,21,3598,34,5173,38,7532,30,5328,44,9661,24,5019
REGULER,RUTE 10,KAMPUNG MELAYU - LAPANGAN BANTENG,67,14152,75,15869,87,1645,66,9341,65,7763,36,2668,36,7471,62,10147,64,12396,47,9338,63,11535,39,5826
REGULER,RUTE 11,BLOK.M - CILEDUK,79,16593,94,16363,110,18509,79,10874,79,896,40,3248,40,7159,65,1066,86,13369,64,10502,85,16887,49,7908
REGULER,RUTE 12,TERMINAL KALIDERES - GAJAH MADA,101,30234,100,35407,110,35716,91,23639,95,11077,47,4843,53,17415,86,22663,111,2979,83,21511,117,31976,58,13215
REGULER,RUTE 13,PULO GADUNG -  PONDOK BAMBU -CAWANG,102,2049,114,23008,128,23798,95,13735,87,8213,44,3988,45,8895,92,13933,104,15401,85,1255,125,22842,71,8958
REGULER,RUTE 14,BLOK. M - PONDOK LABU,85,1646,95,18158,108,1867,80,11434,66,7687,43,3497,44,8414,77,14579,82,15659,60,10989,86,16095,52,7447
REGULER,RUTE 15,TEBET - PONDOK KOPI,67,14341,73,15577,88,1686,66,10264,53,7732,37,3233,34,4777,63,9706,75,1407,57,10535,86,19345,53,7778
REGULER,RUTE 16,RUSUN MUARA BARU - GROGOL,34,11595,38,12408,39,10669,34,8111,22,7372,26,3144,18,4667,45,10177,55,12476,43,9849,65,1727,38,8103
REGULER,RUTE 17,MUARA BARU- MUARA ANGKE,51,16694,57,17022,66,19531,51,11468,35,5261,22,2821,26,7633,47,8764,53,13221,44,968,66,1967,40,105
REGULER,RUTE 18,TEBET - MAMPANG PRAPATAN - RAGUNAN,34,4753,37,534,45,6805,34,3606,21,4655,20,1143,15,1205,32,3524,10,939,,,,,,
REGULER,RUTE 19,MANGGARAI - MAMPANG PRAPATAN- PS MINGGU,34,5344,36,6297,44,7983,34,3922,28,3155,18,935,2,90,31,3087,8,1078,,,,,,
